"","Player","Pos","AP1","PB","AV"
"1","Steve Atwater","DB",2,8,78
"2","Isaac Bruce","WR",0,4,102
"3","Harold Carmichael","WR",0,4,79
"4","Jimbo Covert","OL",2,2,57
"5","Bobby Dillon","DB",4,4,0
"6","Cliff Harris","DB",3,6,77
"7","Winston Hill","OL",0,8,74
"8","Steve Hutchinson","OL",5,7,96
"9","Edgerrin James","RB",1,4,114
"10","Alex Karras","DT",3,4,88
"11","Troy Polamalu","DB",4,8,94
"12","Donnie Shell","DB",3,5,91
"13","Duke Slater","OL",0,0,0
"14","Mac Speedie","Flex",3,2,0
"15","Ed Sprinkle","DE",0,4,0
"16","Champ Bailey","DB",3,12,111
"17","Tony Gonzalez","TE",6,14,97
"18","Ty Law","DB",2,5,85
"19","Kevin Mawae","OL",3,8,107
"20","Ed Reed","DB",5,9,106
"21","Johnny Robinson","DB",6,7,91
"22","Robert Brazile","LB",2,7,74
"23","Brian Dawkins","DB",4,9,100
"24","Jerry Kramer","OL",5,3,76
"25","Ray Lewis","LB",7,13,158
"26","Randy Moss","WR",4,6,123
"27","Terrell Owens","WR",5,6,119
"28","Brian Urlacher","LB",4,8,118
"29","Morten Andersen","K",3,7,51
"30","Terrell Davis","RB",3,3,72
"31","Kenny Easley","DB",3,5,60
"32","Jason Taylor","DE",3,6,117
"33","LaDainian Tomlinson","RB",3,5,128
"34","Kurt Warner","QB",2,4,96
"35","Brett Favre","QB",3,11,156
"36","Kevin Greene","LB",2,5,94
"37","Marvin Harrison","WR",3,8,124
"38","Orlando Pace","OL",3,7,104
"39","Ken Stabler","QB",1,4,94
"40","Dick Stanfel","OL",5,5,0
"41","Jerome Bettis","RB",2,6,80
"42","Tim Brown","WR",0,9,104
"43","Charles Haley","DE",2,5,84
"44","Junior Seau","LB",6,12,127
"45","Will Shields","OL",2,12,113
"46","Mick Tingelhoff","OL",5,6,102
"47","Derrick Brooks","LB",5,11,141
"48","Ray Guy","P",3,7,32
"49","Claude Humphrey","DE",2,6,72
"50","Walter Jones","OL",4,9,97
"51","Andre Reed","WR",0,7,98
"52","Michael Strahan","DE",4,7,121
"53","Aeneas Williams","DB",3,8,103
"54","Larry Allen","OL",6,11,98
"55","Cris Carter","WR",2,8,98
"56","Curley Culp","DT",1,6,77
"57","Jonathan Ogden","OL",4,11,93
"58","Dave Robinson","LB",1,3,81
"59","Warren Sapp","DT",4,7,117
"60","Jack Butler","DB",3,4,0
"61","Dermontti Dawson","OL",6,7,97
"62","Chris Doleman","DE",2,8,114
"63","Cortez Kennedy","DT",3,8,99
"64","Curtis Martin","RB",1,5,100
"65","Willie Roaf","OL",4,11,107
"66","Richard Dent","DE",1,4,96
"67","Marshall Faulk","RB",3,7,133
"68","Chris Hanburger","LB",4,9,96
"69","Les Richter","LB",1,8,18
"70","Deion Sanders","DB",6,8,114
"71","Shannon Sharpe","TE",4,8,80
"72","Russ Grimm","OL",3,4,76
"73","Rickey Jackson","LB",0,6,113
"74","Dick LeBeau","DB",0,3,79
"75","Floyd Little","RB",1,5,70
"76","John Randle","DT",6,7,106
"77","Jerry Rice","WR",10,13,159
"78","Emmitt Smith","RB",4,8,129
"79","Bob Hayes","WR",2,3,81
"80","Randall McDaniel","OL",7,12,119
"81","Bruce Smith","DE",8,11,147
"82","Derrick Thomas","LB",2,9,109
"83","Rod Woodson","DB",6,11,140
"84","Fred Dean","DE",2,4,59
"85","Darrell Green","DB",1,7,100
"86","Art Monk","WR",1,3,93
"87","Emmitt Thomas","DB",1,5,70
"88","Andre Tippett","LB",2,5,90
"89","Gary Zimmerman","OL",3,7,100
"90","Gene Hickerson","OL",3,6,86
"91","Michael Irvin","WR",1,5,106
"92","Bruce Matthews","OL",7,14,134
"93","Charlie Sanders","TE",3,7,53
"94","Thurman Thomas","RB",2,5,112
"95","Roger Wehrli","DB",3,7,82
"96","Troy Aikman","QB",0,6,97
"97","Harry Carson","LB",0,9,91
"98","Warren Moon","QB",0,9,119
"99","Reggie White","DE",8,13,157
"100","Rayfield Wright","OL",3,6,82
"101","Benny Friedman","RB",4,0,0
"102","Dan Marino","QB",3,9,145
"103","Fritz Pollard","RB",1,0,0
"104","Steve Young","QB",3,7,135
"105","Bob Brown","OL",5,6,77
"106","Carl Eller","DE",5,6,123
"107","John Elway","QB",0,9,138
"108","Barry Sanders","RB",6,10,121
"109","Marcus Allen","RB",2,6,103
"110","Elvin Bethea","DE",0,8,65
"111","Joe DeLamielleure","OL",3,6,87
"112","James Lofton","WR",1,8,101
"113","Dave Casper","TE",4,5,52
"114","Dan Hampton","DE",1,4,101
"115","Jim Kelly","QB",1,5,103
"116","John Stallworth","WR",1,3,80
"117","Nick Buoniconti","LB",5,8,103
"118","Mike Munchak","OL",2,9,91
"119","Jackie Slater","OL",0,7,87
"120","Lynn Swann","WR",1,3,62
"121","Ron Yary","OL",6,7,97
"122","Jack Youngblood","DE",5,7,105
"123","Howie Long","DE",2,8,95
"124","Ronnie Lott","DB",6,10,118
"125","Joe Montana","QB",3,8,123
"126","Dave Wilcox","LB",2,7,73
"127","Eric Dickerson","RB",5,6,91
"128","Tom Mack","OL",1,11,90
"129","Ozzie Newsome","TE",1,3,59
"130","Billy Shaw","OL",5,8,57
"131","Lawrence Taylor","LB",8,10,137
"132","Paul Krause","DB",3,8,113
"133","Tommy McDonald","Flex",0,6,62
"134","Anthony Munoz","OL",9,11,133
"135","Mike Singletary","LB",7,10,123
"136","Dwight Stephenson","OL",4,5,81
"137","Mike Haynes","DB",2,9,105
"138","Mike Webster","OL",5,9,116
"139","Lou Creekmur","OL",6,8,0
"140","Dan Dierdorf","OL",3,6,77
"141","Charlie Joiner","WR",1,3,91
"142","Mel Renfro","DB",1,10,98
"143","Henry Jordan","DT",5,4,94
"144","Steve Largent","WR",1,7,103
"145","Lee Roy Selmon","DE",1,6,73
"146","Kellen Winslow","TE",3,5,62
"147","Tony Dorsett","RB",1,4,108
"148","Jimmy Johnson","DB",4,5,100
"149","Leroy Kelly","RB",3,6,87
"150","Jackie Smith","TE",0,5,73
"151","Randy White","DT",7,9,116
"152","Dan Fouts","QB",2,6,122
"153","Larry Little","OL",5,5,102
"154","Walter Payton","RB",5,9,128
"155","Lem Barney","DB",2,7,99
"156","John Mackey","TE",3,5,58
"157","John Riggins","RB",1,1,91
"158","Earl Campbell","RB",3,5,68
"159","John Hannah","OL",7,9,111
"160","Stan Jones","OL",3,7,39
"161","Jan Stenerud","K",1,6,54
"162","Buck Buchanan","DT",4,8,93
"163","Bob Griese","QB",2,8,105
"164","Franco Harris","RB",1,9,102
"165","Ted Hendricks","LB",4,8,107
"166","Jack Lambert","LB",6,9,110
"167","Bob St. Clair","OL",0,5,24
"168","Mel Blount","DB",2,5,101
"169","Terry Bradshaw","QB",1,3,106
"170","Art Shell","OL",2,8,92
"171","Willie Wood","DB",5,8,92
"172","Fred Biletnikoff","WR",2,6,89
"173","Mike Ditka","TE",2,5,56
"174","Jack Ham","LB",6,8,114
"175","Alan Page","DT",6,9,135
"176","Larry Csonka","RB",2,5,73
"177","Len Dawson","QB",2,7,110
"178","Joe Greene","DT",4,10,104
"179","John Henry Johnson","FB",0,4,41
"180","Jim Langer","OL",4,6,89
"181","Don Maynard","Flex",1,4,101
"182","Gene Upshaw","OL",5,7,109
"183","Paul Hornung","RB",2,2,46
"184","Ken Houston","DB",2,12,96
"185","Willie Lanier","LB",3,8,88
"186","Fran Tarkenton","QB",1,9,149
"187","Doak Walker","RB",4,5,0
"188","Frank Gatski","OL",3,1,0
"189","Joe Namath","QB",1,5,94
"190","O.J. Simpson","RB",5,6,98
"191","Roger Staubach","QB",0,6,105
"192","Willie Brown","DB",5,9,108
"193","Mike McCormack","OL",0,6,27
"194","Charley Taylor","WR",1,8,96
"195","Arnie Weinmeister","DT",5,4,0
"196","Bobby Bell","LB",6,9,103
"197","Sonny Jurgensen","QB",2,5,107
"198","Bobby Mitchell","Flex",1,4,88
"199","Paul Warfield","WR",2,8,106
"200","Doug Atkins","DE",1,8,71
"201","Sam Huff","LB",2,5,63
"202","George Musso","OL",1,3,0
"203","Merlin Olsen","DT",5,14,112
"204","Red Badgro","Flex",0,0,0
"205","George Blanda","QB",1,4,95
"206","Willie Davis","DE",5,5,94
"207","Jim Ringo","OL",6,10,78
"208","Herb Adderley","DB",4,5,106
"209","Deacon Jones","DE",5,8,91
"210","Bob Lilly","DT",7,11,108
"211","Jim Otto","OL",10,12,106
"212","Dick Butkus","LB",5,8,78
"213","Yale Lary","DB",3,9,65
"214","Ron Mix","OL",9,8,82
"215","Johnny Unitas","QB",5,10,114
"216","Lance Alworth","Flex",6,7,98
"217","Tuffy Leemans","FB",1,2,0
"218","Ray Nitschke","LB",2,1,94
"219","Larry Wilson","DB",5,8,85
"220","Frank Gifford","RB",4,8,27
"221","Forrest Gregg","OL",7,9,89
"222","Gale Sayers","RB",5,4,59
"223","Bart Starr","QB",1,4,90
"224","Bill Willis","OL",3,3,0
"225","Len Ford","DE",4,4,0
"226","Jim Taylor","FB",1,5,84
"227","Rosey Brown","OL",6,9,50
"228","George Connor","OL",4,4,0
"229","Dante Lavelli","Flex",0,3,0
"230","Lenny Moore","RB",5,7,63
"231","Tony Canadeo","RB",1,0,0
"232","Bill George","LB",8,8,59
"233","Lou Groza","OL",4,9,27
"234","Night Train Lane","DB",3,7,57
"235","Raymond Berry","Flex",3,6,62
"236","Jim Parker","OL",8,8,70
"237","Joe Schmidt","LB",8,10,53
"238","Gino Marchetti","DE",7,11,56
"239","Ollie Matson","RB",5,6,17
"240","Ace Parker","RB",2,0,0
"241","Jim Brown","FB",8,9,108
"242","Bill Hewitt","Flex",4,0,0
"243","Bruiser Kinard","OL",4,5,0
"244","Andy Robustelli","DE",6,7,43
"245","Y.A. Tittle","QB",3,7,44
"246","Norm Van Brocklin","QB",1,9,17
"247","Jack Christiansen","DB",6,5,0
"248","Tom Fears","Flex",1,1,0
"249","Hugh McElhenny","RB",2,6,20
"250","Pete Pihos","Flex",5,6,0
"251","Turk Edwards","OL",3,1,0
"252","Leo Nomellini","DT",6,10,28
"253","Joe Perry","FB",2,3,15
"254","Ernie Stautner","DT",1,9,25
"255","Cliff Battles","RB",3,0,0
"256","Art Donovan","DT",4,5,17
"257","Elroy Hirsch","Flex",2,3,0
"258","Wayne Millner","Flex",0,0,0
"259","Marion Motley","FB",2,1,0
"260","Charley Trippi","RB",1,2,0
"261","Alex Wojciechowicz","OL",0,0,0
"262","Chuck Bednarik","LB",6,8,21
"263","Bobby Layne","QB",2,6,20
"264","Ken Strong","FB",3,0,0
"265","Joe Stydahar","OL",4,4,0
"266","Emlen Tunnell","DB",4,9,8
"267","Bill Dudley","RB",1,3,0
"268","Joe Guyon","FB",0,0,0
"269","Arnie Herber","RB",1,1,0
"270","Walt Kiesling","OL",1,0,0
"271","George McAfee","RB",1,1,0
"272","Bulldog Turner","OL",7,4,0
"273","Paddy Driscoll","RB",6,0,0
"274","Danny Fortmann","OL",6,3,0
"275","Otto Graham","QB",7,5,0
"276","Sid Luckman","QB",5,3,0
"277","Steve Van Buren","RB",5,0,0
"278","Bob Waterfield","QB",3,2,0
"279","Ed Healey","OL",4,0,0
"280","Clarke Hinkle","FB",4,3,0
"281","Link Lyman","OL",2,0,0
"282","Mike Michalske","OL",5,0,0
"283","George Trafton","OL",2,0,0
"284","Sammy Baugh","QB",4,6,0
"285","Johnny Blood","RB",0,0,0
"286","Dutch Clark","RB",6,0,0
"287","Red Grange","RB",2,0,0
"288","Mel Hein","OL",5,4,0
"289","Pete Henry","OL",4,0,0
"290","Cal Hubbard","OL",4,0,0
"291","Don Hutson","Flex",8,4,0
"292","Bronko Nagurski","FB",4,0,0
"293","Ernie Nevers","FB",5,0,0
"294","Jim Thorpe","RB",1,0,0
